127.0.0.1 - - [21/Jul/2019:10:13:29 +0900] "GET / HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:13:30 +0900] "GET / HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:13:30 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /board/list HTTP/1.1" 200 27128
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 76518
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 200 25098
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [21/Jul/2019:10:18:27 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
